State;Probability
'000000';0.017
'101000';0.02
'011000';0.0195
'111000';0.017
'000100';0.015
'001100';0.018
'011100';0.012
'000010';0.0185
'100010';0.0185
'110010';0.0095
'001010';0.0195
'101010';0.0195
'011010';0.018
'111010';0.015
'000110';0.0165
'010110';0.0115
'110110';0.017
'001110';0.012
'101110';0.0205
'011110';0.0155
'111110';0.0165
'000001';0.009
'110001';0.014
'011001';0.016
'000101';0.0105
'010101';0.019
'101101';0.017
'011101';0.0145
'111101';0.014
'100011';0.0165
'001011';0.0225
'011011';0.017
'111011';0.0165
'000111';0.0155
'100111';0.01
'110111';0.0115
'001111';0.014
'101111';0.0165
'011111';0.0115
'111111';0.0185
'100000';0.0205
'010000';0.0165
'110000';0.0175
'100100';0.014
'110100';0.017
'100110';0.011
'100001';0.0155
'010001';0.0165
'001001';0.017
'111001';0.0165
'110011';0.0145
'101011';0.02
'010111';0.009
'010100';0.0145
'101100';0.012
'111100';0.0155
'010010';0.016
'101001';0.0215
'001101';0.0125
'000011';0.018
'010011';0.0155
'001000';0.0135
'100101';0.014
'110101';0.011
